ID,名称,読みがな,効果
1,明日には消える,あすにはきえる,[+17]追加ダメージ [+10%]必殺威力の増減(%) [+20%]魔法威力の増減(%) [+20%]ブレス威力の増減(%) [+150]魔法回復量アップ [-11%]物理ダメージ軽減(%) [-11%]魔法ダメージ軽減(%) [30%]魔法攻撃力→命中精度
2,ありえない,ありえない,[+30%]魔法威力の増減(%) [-12%]ブレスダメージ軽減(%) [1.90]取得GP [+40%]アイテム獲得+
3,主を欺く,しゅをあざむく,[+16]追加ダメージ [+120]防御力アップ [+30%]魔法威力の増減(%) [3/5]ブレスに強い [抵抗]ニュークリア [1.90]獲得経験値 [戦術]核撃増幅Lv1
4,主を導く,しゅをみちびく,[+20%]攻撃威力の増減(%) [+150]防御力アップ [+150]魔法攻撃力アップ [-12%]魔法ダメージ軽減(%) [抵抗]サンダーボルト [成長1.2倍]才能と努力
5,息が止まる,いきがとまる,[+6]攻撃回数アップ [+120]防御力アップ [+120]回避能力アップ [+120]魔法防御力アップ [+10%]攻撃威力の増減(%) [-12%]ブレスダメージ軽減(%) [1.90]取得GP [戦術]ブレス結界Lv2
6,石にめり込む,いしにめりこむ,[戦術]先制攻撃 [戦術]高速行動 [+7]攻撃回数アップ [+18]追加ダメージ [+150]回避能力アップ [+150]魔法攻撃力アップ [+10%]必殺威力の増減(%) [+10%]魔法威力の増減(%) [3/5]貫通防御 [抵抗]サンダーボルト
7,異次元にある,いじげんにある,[+17]追加ダメージ [1.5倍]不死に特効 [1.4倍]サンダーボルト [-11%]物理ダメージ軽減(%) [-12%]魔法ダメージ軽減(%) [無効]反撃無効
8,いずれ奪われる,いずれうばわれる,[+17]追加ダメージ [+10%]攻撃威力の増減(%) [+10%]必殺威力の増減(%) [+10%]魔法威力の増減(%) [1.5倍]竜族に特効 [1.5倍]魔物に特効 [+20%]ブレス威力の増減(%) [+130]命中精度アップ [+140]回避能力アップ [+140]魔法攻撃力アップ [-11%]物理ダメージ軽減(%) [-11%]魔法ダメージ軽減(%)
9,ウサギに噛まれる,うさぎにかまれる,[+150]回避能力アップ [+150]魔法回復量アップ [抵抗]マジックアロー [抵抗]ファイヤーボール [抵抗]ブリザード [抵抗]サンダーボルト [抵抗]ニュークリア [1.90]獲得経験値 [1.90]取得GP
10,永久なる,えいきゅうなる,[+16]追加ダメージ [+170]命中精度アップ [1.5倍]不死に特効 [3/5]攻撃に強い [不死]アンデッド
11,選ばれし,えらばれし,[+20%]必殺威力の増減(%) [1.4倍]マジックアロー [1.5倍]人型に特効 [-13%]物理ダメージ軽減(%) [最大70]必殺率最大値 [1.90]獲得経験値
12,落とし物の,おとしものの,[+150]魔法防御力アップ [-12%]魔法ダメージ軽減(%) [+40%]アイテム獲得+ [1.50]名称付き [戦術]魔法結界Lv2
13,終わらない,おわらない,[+200]魔法回復量アップ [3/5]貫通防御 [x2.0]即時蘇生
14,勝手に動く,かってにうごく,[+110]命中精度アップ [+140]回避能力アップ [3/5]クリティカル・ガード [-12%]物理ダメージ軽減(%) [15%]攻防戦術
15,神の封じた,かみのふうじた,[+16]追加ダメージ [+120]魔法攻撃力アップ [+120]魔法防御力アップ [1.5倍]神魔に特効 [-11%]物理ダメージ軽減(%) [-12%]魔法ダメージ軽減(%) [-11%]ブレスダメージ軽減(%) [20%]魔法攻撃力→攻撃力 [1.50]名称付き
